Phylum	RecA	SSB	RecJ	RecQ	RecF	RecO	RecR	RecB	RecC	RecD	AddA	AddB	AdnA	AdnB
Acidobacteriota	1	1	0.95	0.9	0.1	1	1	0.05	0.1	0.85	0.95	0.85	0	0
Actinomycetota	0.98776097912167	0.997120230381569	0.0431965442764579	0.992080633549316	0.986321094312455	0.979121670266379	0.995680345572354	0.199424046076314	0.200863930885529	0.667386609071274	0.0518358531317495	0.0280777537796976	0.932325413966883	0.935205183585313
Aquificota	1	1	0.625	0.9375	0.1875	0.375	1	0	0	0	0.4375	0.125	0	0
Bacillota	0.985467128027682	0.997923875432526	0.994463667820069	0.963321799307958	0.995847750865052	0.977854671280277	0.997923875432526	0	0	0.867128027681661	0.97923875432526	0.95916955017301	0	0.000692041522491349
Bacteroidota	0.993015133876601	0.989522700814901	0.984866123399301	0.9988358556461	0.990686845168801	0.962747380675204	0.993015133876601	0.0267753201396973	0.0267753201396973	0.70430733410943	0.89871944121071	0.894062863795111	0	0
Chlamydiota	1	1	0.866666666666667	0.266666666666667	0.933333333333333	1	1	1	1	1	0	0	0	0
Chlorobiota	1	1	1	1	1	1	1	0.818181818181818	0.818181818181818	0.909090909090909	0.0909090909090909	0	0	0
Chloroflexota	1	1	1	0.846153846153846	0.846153846153846	1	1	0	0	0.5	0.153846153846154	0.153846153846154	0.0384615384615385	0
Cyanobacteriota	0.990196078431373	0.931372549019608	0.990196078431373	1	0.980392156862745	0.980392156862745	0.990196078431373	0.0294117647058824	0.0392156862745098	0.470588235294118	0.0980392156862745	0.0784313725490196	0	0
Deferribacterota	1	1	1	1	1	0.666666666666667	1	0.5	0.5	0.666666666666667	0.666666666666667	0.666666666666667	0	0
Deinococcota	0.982758620689655	1	0.96551724137931	1	0.948275862068966	0.827586206896552	1	0	0	0.706896551724138	0.586206896551724	0.448275862068966	0	0
Fusobacteriota	1	1	1	0.967741935483871	1	0.967741935483871	1	0	0.032258064516129	0.0967741935483871	0.935483870967742	0.032258064516129	0	0
Mycoplasmatota	0.953488372093023	0.953488372093023	0	0.51937984496124	0.0465116279069767	0.496124031007752	0.89922480620155	0	0	0.821705426356589	0.0387596899224806	0.00775193798449612	0	0
Nitrospirota	1	1	1	0.428571428571429	0	1	1	0.142857142857143	0.142857142857143	0.714285714285714	0.857142857142857	0.857142857142857	0	0
Other	1	1	0.857142857142857	0.821428571428571	0.857142857142857	0.785714285714286	1	0.321428571428571	0.357142857142857	0.392857142857143	0.392857142857143	0.357142857142857	0	0
Planctomycetota	1	1	0.986666666666667	0.96	0.0133333333333333	0.813333333333333	0.813333333333333	0.0266666666666667	0.0266666666666667	0.333333333333333	0.933333333333333	0.8	0	0
Pseudomonadota	0.982920878354827	0.996514464970373	0.98710352039038	0.984663645869641	0.7654234925061	0.946671314046706	0.986057859881492	0.509236667828512	0.509585221331474	0.756361101429069	0.487277797141861	0.454513767863367	0.00069710700592541	0
Spirochaetota	0.96551724137931	1	1	0.632183908045977	0.839080459770115	0.701149425287356	0.839080459770115	0.195402298850575	0.540229885057471	0.574712643678161	0.413793103448276	0.310344827586207	0	0
Synergistota	1	1	1	1	1	0.666666666666667	1	0	0	0.416666666666667	0.916666666666667	0.5	0	0
Thermodesulfobacteriota	1	1	1	0.5	0	1	1	0	0	0	1	1	0	0
Thermotogota	1	1	1	0.666666666666667	0.151515151515152	0	0	0	0	0.0909090909090909	0.696969696969697	0.696969696969697	0	0
Verrucomicrobiota	1	1	0.91304347826087	0.91304347826087	0.91304347826087	0.739130434782609	1	0.0869565217391304	0.0869565217391304	0.565217391304348	0.869565217391304	0.695652173913043	0	0
