System	NumGenomes
RM	2037
Cas	1013
Wadjet	479
SoFIC	376
CBASS	341
Gabija	335
AbiE	328
Lamassu-Fam	315
MazEF	312
Septu	290
AbiD	277
BREX	242
RloC	216
Retron	214
PD-T7-2	169
SanaTA	151
Mokosh	151
dGTPase	142
DRT	136
Shedu	133
pAgo	128
RosmerTA	128
PD-Lambda-1	127
Hachiman	123
Paris	116
Shango	112
AbiH	110
DarTG	102
AbiU	101
PfiAT	96
Kiwa	83
SspBCDE	82
Zorya	73
dCTPdeaminase	72
Avs	71
Druantia	69
GAPS2	64
PrrC	63
Hna	63
Pycsar	62
Tiamat	61
Dnd	61
Menshen	61
Thoeris	58
SEFIR	55
DISARM	53
Azaca	53
ShosTA	52
PD-T7-4	51
Gao_Qat	50
Abi2	49
AbiJ	49
CapRel	49
Eleos	40
PD-Lambda-5	40
Gao_Iet	36
Dsr	36
NLR	36
AbiL	35
PD-T4-3	35
Viperin	30
Olokun	28
AbiZ	28
Detocs	28
PsyrTA	27
PD-T7-5	26
AbiQ	26
Gao_RL	25
PD-T7-1	24
PD-T7-3	23
Gao_Her	21
PD-T4-9	21
Uzume	20
Gao_Ppl	19
Charlie_gp32	19
Dpd	18
Dodola	17
PD-T4-5	17
RnlAB	17
GAPS4	17
Rst_HelicaseDUF2290	16
CARD_NLR	16
Gao_Tmn	15
Bunzi	15
AbiP2	15
SpbK	15
PD-T4-7	14
BstA	14
DdmDE	14
Nhi	14
MADS	14
Borvo	13
PD-T4-8	13
Mok_Hok_Sok	13
Rst_3HP	12
PD-T4-4	12
AbiN	12
Phrann_gp29_gp30	12
Gao_TerY	11
Dazbog	11
AbiC	11
Lit	11
Gao_Hhe	11
AbiO	11
JukAB	10
AbiV	10
FS_GIY_YIG	10
Butters_gp30_gp31	9
Old_exonuclease	9
PD-Lambda-2	9
Rst_TIR-NLR	8
PD-T4-1	8
Rst_Hydrolase-3Tm	8
AbiR	7
RADAR	7
ISG15-like	6
Gao_Ape	6
GasderMIN	6
Gao_Upx	6
Aditi	6
FS_HP	5
PD-T4-6	5
GAPS6	5
Rst_DUF4238	5
PD-T4-10	5
AbiA	5
Stk2	4
MqsRAC	4
PD-T4-2	4
Gao_Mza	4
Butters_gp57r	4
GAPS1	3
Rst_gop_beta_cll	3
PD-Lambda-6	3
AbiK	3
AbiG	3
FS_Sma	2
Pif	2
PD-Lambda-4	1
Panchino_gp28	1
MMB_gp29_gp30	1
AbiI	1
FS_HsdR_like	0
AbiB	0
AbiT	0
Rst_RT-nitrilase-Tm	0
NixI	0
PD-Lambda-3	0
RexAB	0
Rst_2TM_1TM_TIR	0
FS_HP_SDH_sah	0
